1	H	5.3E-11	2.5E-11	3.7E-11	1.2E-10	1E-11	1.67366E-24
2	He	3.1E-11	3.1E-11	3.2E-11	1.4E-10	-1E-10	6.64647E-24
3	Li	1.67E-10	1.45E-10	1.34E-10	1.82E-10	9E-11	1.15258E-23
4	Be	1.12E-10	1.05E-10	9E-11	-1E-10	4.1E-11	1.49651E-23
5	B	8.7E-11	8.5E-11	8.2E-11	-1E-10	2.5E-11	1.79521E-23
6	C	6.7E-11	7E-11	7.7E-11	1.7E-10	2.9E-11	1.99442E-23
7	N	5.6E-11	6.5E-11	7.5E-11	1.55E-10	3E-11	2.32587E-23
8	O	4.8E-11	6E-11	7.3E-11	1.52E-10	1.21E-10	2.65676E-23
9	F	4.2E-11	5E-11	7.1E-11	1.47E-10	1.19E-10	3.15476E-23
10	Ne	3.8E-11	3.8E-11	6.9E-11	1.54E-10	-1E-10	3.35092E-23
11	Na	1.9E-10	1.8E-10	1.54E-10	2.27E-10	1.16E-10	3.81753E-23
12	Mg	1.45E-10	1.5E-10	1.3E-10	1.73E-10	8.6E-11	4.03594E-23
13	Al	1.18E-10	1.25E-10	1.18E-10	-1E-10	5.3E-11	4.48038E-23
14	Si	1.11E-10	1.1E-10	1.11E-10	2.1E-10	4E-11	1.34263E-23
15	P	9.8E-11	1E-10	1.06E-10	1.8E-10	3.1E-11	5.14332E-23
16	S	8.8E-11	1E-10	1.02E-10	1.8E-10	4.3E-11	5.32452E-23
17	Cl	7.9E-11	1E-10	9.9E-11	1.75E-10	1.67E-10	5.88711E-23
18	Ar	7.1E-11	7.1E-11	9.7E-11	1.88E-10	-1E-10	6.49243E-23
19	K	2.43E-10	2.2E-10	1.96E-10	2.75E-10	1.52E-10	6.63352E-23
20	Ca	1.94E-10	1.8E-10	1.74E-10	-1E-10	1.14E-10	6.65511E-23
21	Sc	1.84E-10	1.6E-10	1.44E-10	-1E-10	8.9E-11	7.4651E-23
22	Ti	1.76E-10	1.4E-10	1.36E-10	-1E-10	7.5E-11	7.9485E-23
23	V	1.71E-10	1.35E-10	1.25E-10	-1E-10	6.8E-11	8.45903E-23
24	Cr	1.66E-10	1.4E-10	1.27E-10	-1E-10	7.6E-11	8.63416E-23
25	Mn	1.61E-10	1.4E-10	1.39E-10	-1E-10	8.1E-11	9.12267E-23
26	Fe	1.56E-10	1.4E-10	1.25E-10	-1E-10	6.9E-11	9.27328E-23
27	Co	1.52E-10	1.35E-10	1.26E-10	-1E-10	5.4E-11	9.74627E-23
28	Ni	1.49E-10	1.35E-10	1.21E-10	1.63E-10	7E-11	9.78609E-23
29	Cu	1.45E-10	1.35E-10	1.38E-10	1.4E-10	7.1E-11	1.05521E-22
30	Zn	1.42E-10	1.35E-10	1.31E-10	1.39E-10	7.4E-11	1.08583E-22
31	Ga	1.36E-10	1.3E-10	1.26E-10	1.87E-10	7.6E-11	1.15778E-22
32	Ge	1.25E-10	1.25E-10	1.22E-10	-1E-10	5.3E-11	1.20622E-22
33	As	1.14E-10	1.15E-10	1.19E-10	1.85E-10	7.2E-11	1.2441E-22
34	Se	1.03E-10	1.15E-10	1.16E-10	1.9E-10	5.6E-11	1.31116E-22
35	Br	9.4E-11	1.15E-10	1.14E-10	1.85E-10	1.82E-10	1.32684E-22
36	Kr	8.8E-11	8.8E-11	1.1E-10	2.02E-10	-1E-10	1.39153E-22
37	Rb	2.65E-10	2.35E-10	2.11E-10	-1E-10	1.66E-10	1.41923E-22
38	Sr	2.19E-10	2E-10	1.92E-10	-1E-10	1.32E-10	1.45496E-22
39	Y	2.12E-10	1.85E-10	1.62E-10	-1E-10	1.04E-10	1.47632E-22
40	Zr	2.06E-10	1.55E-10	1.48E-10	-1E-10	8.6E-11	1.51481E-22
41	Nb	1.98E-10	1.45E-10	1.37E-10	-1E-10	7.8E-11	1.54275E-22
42	Mo	1.9E-10	1.45E-10	1.45E-10	-1E-10	7.9E-11	1.59312E-22
43	Tc	1.83E-10	1.35E-10	1.56E-10	-1E-10	7.9E-11	1.62733E-22
44	Ru	1.78E-10	1.3E-10	1.26E-10	-1E-10	8.2E-11	1.67831E-22
45	Rh	1.73E-10	1.35E-10	1.35E-10	-1E-10	8.1E-11	1.70879E-22
46	Pd	1.69E-10	1.4E-10	1.31E-10	1.63E-10	7.8E-11	1.76715E-22
47	Ag	1.65E-10	1.6E-10	1.53E-10	1.72E-10	1.29E-10	1.79119E-22
48	Cd	1.61E-10	1.55E-10	1.48E-10	1.58E-10	9.2E-11	1.86663E-22
49	In	1.56E-10	1.55E-10	1.44E-10	1.93E-10	9.4E-11	1.9066E-22
50	Sn	1.45E-10	1.45E-10	1.41E-10	2.17E-10	6.9E-11	1.97123E-22
51	Sb	1.33E-10	1.45E-10	1.38E-10	-1E-10	9E-11	2.02187E-22
52	Te	1.23E-10	1.4E-10	1.35E-10	2.06E-10	1.11E-10	2.1073E-22
53	I	1.15E-10	1.4E-10	1.33E-10	1.98E-10	2.06E-10	2.11885E-22
54	Xe	1.08E-10	1.08E-10	1.3E-10	2.16E-10	6.2E-11	2.18017E-22
55	Cs	2.98E-10	2.6E-10	2.25E-10	-1E-10	1.81E-10	2.20695E-22
56	Ba	2.53E-10	2.15E-10	1.98E-10	-1E-10	1.49E-10	2.28037E-22
57	La	1.95E-10	1.95E-10	1.69E-10	-1E-10	1.36E-10	2.30658E-22
58	Ce	1.85E-10	1.85E-10	-1E-10	-1E-10	1.15E-10	2.32668E-22
59	Pr	2.47E-10	1.85E-10	-1E-10	-1E-10	1.32E-10	2.33983E-22
60	Nd	2.06E-10	1.85E-10	-1E-10	-1E-10	1.3E-10	2.39516E-22
61	Pm	2.05E-10	1.85E-10	-1E-10	-1E-10	1.28E-10	2.40778E-22
62	Sm	2.38E-10	1.85E-10	-1E-10	-1E-10	1.1E-10	2.49679E-22
